Driver,DriverNumber,Team,LapNumber,LapTime,Stint,Compound,TyreLife,LapStartTime,TrackStatus,IsAccurate,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindSpeed,WindDirection
STR,18,Aston Martin,2.0,0 days 00:01:19.989000,1.0,HARD,3.0,0 days 01:03:42.759000,1,True,25.2,43.1,44.0,1013.4,False,1.0,48
PER,11,Red Bull Racing,2.0,0 days 00:01:19.704000,2.0,HARD,1.0,0 days 01:04:01.387000,1,False,25.2,43.1,44.0,1013.4,False,1.0,48
ZHO,24,Alfa Romeo,2.0,0 days 00:01:20.757000,2.0,HARD,1.0,0 days 01:04:01.982000,1,False,25.2,43.1,44.0,1013.4,False,1.0,48
HUL,27,Haas F1 Team,2.0,0 days 00:01:20.434000,2.0,HARD,1.0,0 days 01:04:03.289000,1,False,25.2,43.1,44.0,1013.4,False,1.0,48
VER,1,Red Bull Racing,3.0,0 days 00:01:19.074000,1.0,MEDIUM,3.0,0 days 01:04:46.802000,1,True,25.2,42.8,45.0,1013.5,False,0.8,66
ALO,14,Aston Martin,3.0,0 days 00:01:19.113000,1.0,HARD,4.0,0 days 01:04:48.370000,1,True,25.2,42.8,45.0,1013.5,False,0.8,66
OCO,31,Alpine,3.0,0 days 00:01:19.704000,1.0,MEDIUM,3.0,0 days 01:04:50.137000,1,True,25.2,42.8,45.0,1013.5,False,0.8,66
SAI,55,Ferrari,3.0,0 days 00:01:19.958000,1.0,HARD,3.0,0 days 01:04:51.180000,1,True,25.2,42.8,45.0,1013.5,False,0.8,66
HAM,44,Mercedes,3.0,0 days 00:01:20.105000,1.0,MEDIUM,3.0,0 days 01:04:52.309000,1,True,25.2,42.8,45.0,1013.5,False,0.8,66
LEC,16,Ferrari,3.0,0 days 00:01:20.021000,1.0,HARD,3.0,0 days 01:04:52.854000,1,True,25.2,42.8,45.0,1013.5,False,0.8,66
GAS,10,Alpine,3.0,0 days 00:01:20.282000,1.0,HARD,3.0,0 days 01:04:53.534000,1,True,25.2,42.8,45.0,1013.5,False,0.8,66
RUS,63,Mercedes,3.0,0 days 00:01:20.291000,1.0,HARD,3.0,0 days 01:04:54.739000,1,True,25.2,42.8,45.0,1013.5,False,0.8,66
TSU,22,AlphaTauri,3.0,0 days 00:01:20.281000,1.0,MEDIUM,3.0,0 days 01:04:55.802000,1,True,25.2,42.8,45.0,1013.5,False,0.8,66
NOR,4,McLaren,3.0,0 days 00:01:20.396000,1.0,MEDIUM,3.0,0 days 01:04:56.841000,1,True,25.2,42.8,45.0,1013.5,False,0.8,66
PIA,81,McLaren,3.0,0 days 00:01:20.532000,1.0,HARD,3.0,0 days 01:04:58.071000,1,True,25.2,42.8,45.0,1013.5,False,0.8,66
DEV,21,AlphaTauri,3.0,0 days 00:01:20.580000,1.0,MEDIUM,3.0,0 days 01:04:58.410000,1,True,25.2,42.8,45.0,1013.5,False,0.8,66
ALB,23,Williams,3.0,0 days 00:01:20.703000,1.0,MEDIUM,3.0,0 days 01:04:58.790000,1,True,25.2,42.8,45.0,1013.5,False,0.8,66
BOT,77,Alfa Romeo,3.0,0 days 00:01:20.142000,1.0,HARD,3.0,0 days 01:05:00.132000,1,True,25.2,42.8,45.0,1013.5,False,0.8,66
SAR,2,Williams,3.0,0 days 00:01:20.219000,1.0,MEDIUM,3.0,0 days 01:05:00.544000,1,True,25.2,42.8,45.0,1013.5,False,0.8,66
MAG,20,Haas F1 Team,3.0,0 days 00:01:19.929000,1.0,HARD,3.0,0 days 01:05:01.797000,1,True,25.2,42.8,45.0,1013.5,False,0.8,66
STR,18,Aston Martin,3.0,0 days 00:01:19.928000,1.0,HARD,4.0,0 days 01:05:02.748000,1,True,25.2,42.8,45.0,1013.5,False,0.8,66
PER,11,Red Bull Racing,3.0,0 days 00:01:16.387000,2.0,HARD,2.0,0 days 01:05:21.091000,1,True,25.3,42.8,45.0,1013.4,False,1.0,18
ZHO,24,Alfa Romeo,3.0,0 days 00:01:17.003000,2.0,HARD,2.0,0 days 01:05:22.739000,1,True,25.3,42.8,45.0,1013.4,False,1.0,18
HUL,27,Haas F1 Team,3.0,0 days 00:01:17.221000,2.0,HARD,2.0,0 days 01:05:23.723000,1,True,25.3,42.8,45.0,1013.4,False,1.0,18
VER,1,Red Bull Racing,4.0,0 days 00:01:18.129000,1.0,MEDIUM,4.0,0 days 01:06:05.876000,1,True,25.3,42.8,45.0,1013.4,False,1.0,18
ALO,14,Aston Martin,4.0,0 days 00:01:18.776000,1.0,HARD,5.0,0 days 01:06:07.483000,1,True,25.3,42.8,45.0,1013.4,False,1.0,18
OCO,31,Alpine,4.0,0 days 00:01:19.314000,1.0,MEDIUM,4.0,0 days 01:06:09.841000,1,True,25.3,42.8,45.0,1013.4,False,1.0,18
SAI,55,Ferrari,4.0,0 days 00:01:19.482000,1.0,HARD,4.0,0 days 01:06:11.138000,1,True,25.3,42.8,45.0,1013.4,False,1.0,18
HAM,44,Mercedes,4.0,0 days 00:01:19.356000,1.0,MEDIUM,4.0,0 days 01:06:12.414000,1,True,25.3,42.8,45.0,1013.4,False,1.0,18
LEC,16,Ferrari,4.0,0 days 00:01:19.468000,1.0,HARD,4.0,0 days 01:06:12.875000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115
GAS,10,Alpine,4.0,0 days 00:01:19.577000,1.0,HARD,4.0,0 days 01:06:13.816000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115
RUS,63,Mercedes,4.0,0 days 00:01:20.030000,1.0,HARD,4.0,0 days 01:06:15.030000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115
TSU,22,AlphaTauri,4.0,0 days 00:01:20.032000,1.0,MEDIUM,4.0,0 days 01:06:16.083000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115
NOR,4,McLaren,4.0,0 days 00:01:20.209000,1.0,MEDIUM,4.0,0 days 01:06:17.237000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115
PIA,81,McLaren,4.0,0 days 00:01:20.408000,1.0,HARD,4.0,0 days 01:06:18.603000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115
DEV,21,AlphaTauri,4.0,0 days 00:01:20.376000,1.0,MEDIUM,4.0,0 days 01:06:18.990000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115
ALB,23,Williams,4.0,0 days 00:01:20.276000,1.0,MEDIUM,4.0,0 days 01:06:19.493000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115
BOT,77,Alfa Romeo,4.0,0 days 00:01:20.341000,1.0,HARD,4.0,0 days 01:06:20.274000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115
SAR,2,Williams,4.0,0 days 00:01:20.246000,1.0,MEDIUM,4.0,0 days 01:06:20.763000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115
MAG,20,Haas F1 Team,4.0,0 days 00:01:20.407000,1.0,HARD,4.0,0 days 01:06:21.726000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115
STR,18,Aston Martin,4.0,0 days 00:01:19.998000,1.0,HARD,5.0,0 days 01:06:22.676000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115
PER,11,Red Bull Racing,4.0,0 days 00:01:16.535000,2.0,HARD,3.0,0 days 01:06:37.478000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115
ZHO,24,Alfa Romeo,4.0,0 days 00:01:16.946000,2.0,HARD,3.0,0 days 01:06:39.742000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115
HUL,27,Haas F1 Team,4.0,0 days 00:01:17.148000,2.0,HARD,3.0,0 days 01:06:40.944000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115
VER,1,Red Bull Racing,5.0,0 days 00:01:18.019000,1.0,MEDIUM,5.0,0 days 01:07:24.005000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161
ALO,14,Aston Martin,5.0,0 days 00:01:17.939000,1.0,HARD,6.0,0 days 01:07:26.259000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161
OCO,31,Alpine,5.0,0 days 00:01:19.041000,1.0,MEDIUM,5.0,0 days 01:07:29.155000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161
SAI,55,Ferrari,5.0,0 days 00:01:18.723000,1.0,HARD,5.0,0 days 01:07:30.620000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161
HAM,44,Mercedes,5.0,0 days 00:01:18.736000,1.0,MEDIUM,5.0,0 days 01:07:31.770000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161
LEC,16,Ferrari,5.0,0 days 00:01:18.837000,1.0,HARD,5.0,0 days 01:07:32.343000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161
GAS,10,Alpine,5.0,0 days 00:01:18.893000,1.0,HARD,5.0,0 days 01:07:33.393000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161
RUS,63,Mercedes,5.0,0 days 00:01:18.840000,1.0,HARD,5.0,0 days 01:07:35.060000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161
TSU,22,AlphaTauri,5.0,0 days 00:01:19.296000,1.0,MEDIUM,5.0,0 days 01:07:36.115000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161
NOR,4,McLaren,5.0,0 days 00:01:19.502000,1.0,MEDIUM,5.0,0 days 01:07:37.446000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161
PIA,81,McLaren,5.0,0 days 00:01:19.707000,1.0,HARD,5.0,0 days 01:07:39.011000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161
DEV,21,AlphaTauri,5.0,0 days 00:01:19.790000,1.0,MEDIUM,5.0,0 days 01:07:39.366000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161
ALB,23,Williams,5.0,0 days 00:01:19.967000,1.0,MEDIUM,5.0,0 days 01:07:39.769000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161
BOT,77,Alfa Romeo,5.0,0 days 00:01:20.022000,1.0,HARD,5.0,0 days 01:07:40.615000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161
SAR,2,Williams,5.0,0 days 00:01:20.214000,1.0,MEDIUM,5.0,0 days 01:07:41.009000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161
