Driver,DriverNumber,Team,LapNumber,LapTime,Stint,Compound,TyreLife,LapStartTime,TrackStatus,IsAccurate,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindSpeed,WindDirection,source_file,LapTimeSeconds
ALB,23,Williams,3.0,0 days 00:01:20.703000,1.0,MEDIUM,3.0,0 days 01:04:58.790000,1,True,25.2,42.8,45.0,1013.5,False,0.8,66,laps_2023_monaco_R.csv,80.703
BOT,77,Alfa Romeo,3.0,0 days 00:01:20.142000,1.0,HARD,3.0,0 days 01:05:00.132000,1,True,25.2,42.8,45.0,1013.5,False,0.8,66,laps_2023_monaco_R.csv,80.142
SAR,2,Williams,3.0,0 days 00:01:20.219000,1.0,MEDIUM,3.0,0 days 01:05:00.544000,1,True,25.2,42.8,45.0,1013.5,False,0.8,66,laps_2023_monaco_R.csv,80.219
MAG,20,Haas F1 Team,3.0,0 days 00:01:19.929000,1.0,HARD,3.0,0 days 01:05:01.797000,1,True,25.2,42.8,45.0,1013.5,False,0.8,66,laps_2023_monaco_R.csv,79.929
STR,18,Aston Martin,3.0,0 days 00:01:19.928000,1.0,HARD,4.0,0 days 01:05:02.748000,1,True,25.2,42.8,45.0,1013.5,False,0.8,66,laps_2023_monaco_R.csv,79.928
PER,11,Red Bull,3.0,0 days 00:01:16.387000,2.0,HARD,2.0,0 days 01:05:21.091000,1,True,25.3,42.8,45.0,1013.4,False,1.0,18,laps_2023_monaco_R.csv,76.387
ZHO,24,Alfa Romeo,3.0,0 days 00:01:17.003000,2.0,HARD,2.0,0 days 01:05:22.739000,1,True,25.3,42.8,45.0,1013.4,False,1.0,18,laps_2023_monaco_R.csv,77.003
HUL,27,Haas F1 Team,3.0,0 days 00:01:17.221000,2.0,HARD,2.0,0 days 01:05:23.723000,1,True,25.3,42.8,45.0,1013.4,False,1.0,18,laps_2023_monaco_R.csv,77.221
VER,1,Red Bull,4.0,0 days 00:01:18.129000,1.0,MEDIUM,4.0,0 days 01:06:05.876000,1,True,25.3,42.8,45.0,1013.4,False,1.0,18,laps_2023_monaco_R.csv,78.129
ALO,14,Aston Martin,4.0,0 days 00:01:18.776000,1.0,HARD,5.0,0 days 01:06:07.483000,1,True,25.3,42.8,45.0,1013.4,False,1.0,18,laps_2023_monaco_R.csv,78.776
OCO,31,Alpine,4.0,0 days 00:01:19.314000,1.0,MEDIUM,4.0,0 days 01:06:09.841000,1,True,25.3,42.8,45.0,1013.4,False,1.0,18,laps_2023_monaco_R.csv,79.314
SAI,55,Ferrari,4.0,0 days 00:01:19.482000,1.0,HARD,4.0,0 days 01:06:11.138000,1,True,25.3,42.8,45.0,1013.4,False,1.0,18,laps_2023_monaco_R.csv,79.482
HAM,44,Mercedes,4.0,0 days 00:01:19.356000,1.0,MEDIUM,4.0,0 days 01:06:12.414000,1,True,25.3,42.8,45.0,1013.4,False,1.0,18,laps_2023_monaco_R.csv,79.356
LEC,16,Ferrari,4.0,0 days 00:01:19.468000,1.0,HARD,4.0,0 days 01:06:12.875000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115,laps_2023_monaco_R.csv,79.468
GAS,10,Alpine,4.0,0 days 00:01:19.577000,1.0,HARD,4.0,0 days 01:06:13.816000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115,laps_2023_monaco_R.csv,79.577
RUS,63,Mercedes,4.0,0 days 00:01:20.030000,1.0,HARD,4.0,0 days 01:06:15.030000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115,laps_2023_monaco_R.csv,80.03
TSU,22,AlphaTauri,4.0,0 days 00:01:20.032000,1.0,MEDIUM,4.0,0 days 01:06:16.083000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115,laps_2023_monaco_R.csv,80.032
NOR,4,McLaren,4.0,0 days 00:01:20.209000,1.0,MEDIUM,4.0,0 days 01:06:17.237000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115,laps_2023_monaco_R.csv,80.209
PIA,81,McLaren,4.0,0 days 00:01:20.408000,1.0,HARD,4.0,0 days 01:06:18.603000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115,laps_2023_monaco_R.csv,80.408
DEV,21,AlphaTauri,4.0,0 days 00:01:20.376000,1.0,MEDIUM,4.0,0 days 01:06:18.990000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115,laps_2023_monaco_R.csv,80.376
ALB,23,Williams,4.0,0 days 00:01:20.276000,1.0,MEDIUM,4.0,0 days 01:06:19.493000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115,laps_2023_monaco_R.csv,80.276
BOT,77,Alfa Romeo,4.0,0 days 00:01:20.341000,1.0,HARD,4.0,0 days 01:06:20.274000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115,laps_2023_monaco_R.csv,80.341
SAR,2,Williams,4.0,0 days 00:01:20.246000,1.0,MEDIUM,4.0,0 days 01:06:20.763000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115,laps_2023_monaco_R.csv,80.246
MAG,20,Haas F1 Team,4.0,0 days 00:01:20.407000,1.0,HARD,4.0,0 days 01:06:21.726000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115,laps_2023_monaco_R.csv,80.407
STR,18,Aston Martin,4.0,0 days 00:01:19.998000,1.0,HARD,5.0,0 days 01:06:22.676000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115,laps_2023_monaco_R.csv,79.998
PER,11,Red Bull,4.0,0 days 00:01:16.535000,2.0,HARD,3.0,0 days 01:06:37.478000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115,laps_2023_monaco_R.csv,76.535
ZHO,24,Alfa Romeo,4.0,0 days 00:01:16.946000,2.0,HARD,3.0,0 days 01:06:39.742000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115,laps_2023_monaco_R.csv,76.946
HUL,27,Haas F1 Team,4.0,0 days 00:01:17.148000,2.0,HARD,3.0,0 days 01:06:40.944000,1,True,25.4,42.8,45.0,1013.5,False,1.0,115,laps_2023_monaco_R.csv,77.148
VER,1,Red Bull,5.0,0 days 00:01:18.019000,1.0,MEDIUM,5.0,0 days 01:07:24.005000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161,laps_2023_monaco_R.csv,78.019
ALO,14,Aston Martin,5.0,0 days 00:01:17.939000,1.0,HARD,6.0,0 days 01:07:26.259000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161,laps_2023_monaco_R.csv,77.939
OCO,31,Alpine,5.0,0 days 00:01:19.041000,1.0,MEDIUM,5.0,0 days 01:07:29.155000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161,laps_2023_monaco_R.csv,79.041
SAI,55,Ferrari,5.0,0 days 00:01:18.723000,1.0,HARD,5.0,0 days 01:07:30.620000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161,laps_2023_monaco_R.csv,78.723
HAM,44,Mercedes,5.0,0 days 00:01:18.736000,1.0,MEDIUM,5.0,0 days 01:07:31.770000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161,laps_2023_monaco_R.csv,78.736
LEC,16,Ferrari,5.0,0 days 00:01:18.837000,1.0,HARD,5.0,0 days 01:07:32.343000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161,laps_2023_monaco_R.csv,78.837
GAS,10,Alpine,5.0,0 days 00:01:18.893000,1.0,HARD,5.0,0 days 01:07:33.393000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161,laps_2023_monaco_R.csv,78.893
RUS,63,Mercedes,5.0,0 days 00:01:18.840000,1.0,HARD,5.0,0 days 01:07:35.060000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161,laps_2023_monaco_R.csv,78.84
TSU,22,AlphaTauri,5.0,0 days 00:01:19.296000,1.0,MEDIUM,5.0,0 days 01:07:36.115000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161,laps_2023_monaco_R.csv,79.296
NOR,4,McLaren,5.0,0 days 00:01:19.502000,1.0,MEDIUM,5.0,0 days 01:07:37.446000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161,laps_2023_monaco_R.csv,79.502
PIA,81,McLaren,5.0,0 days 00:01:19.707000,1.0,HARD,5.0,0 days 01:07:39.011000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161,laps_2023_monaco_R.csv,79.707
DEV,21,AlphaTauri,5.0,0 days 00:01:19.790000,1.0,MEDIUM,5.0,0 days 01:07:39.366000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161,laps_2023_monaco_R.csv,79.79
ALB,23,Williams,5.0,0 days 00:01:19.967000,1.0,MEDIUM,5.0,0 days 01:07:39.769000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161,laps_2023_monaco_R.csv,79.967
BOT,77,Alfa Romeo,5.0,0 days 00:01:20.022000,1.0,HARD,5.0,0 days 01:07:40.615000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161,laps_2023_monaco_R.csv,80.022
SAR,2,Williams,5.0,0 days 00:01:20.214000,1.0,MEDIUM,5.0,0 days 01:07:41.009000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161,laps_2023_monaco_R.csv,80.214
MAG,20,Haas F1 Team,5.0,0 days 00:01:20.224000,1.0,HARD,5.0,0 days 01:07:42.133000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161,laps_2023_monaco_R.csv,80.224
STR,18,Aston Martin,5.0,0 days 00:01:20.438000,1.0,HARD,6.0,0 days 01:07:42.674000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161,laps_2023_monaco_R.csv,80.438
PER,11,Red Bull,5.0,0 days 00:01:16.269000,2.0,HARD,4.0,0 days 01:07:54.013000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161,laps_2023_monaco_R.csv,76.269
ZHO,24,Alfa Romeo,5.0,0 days 00:01:16.926000,2.0,HARD,4.0,0 days 01:07:56.688000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161,laps_2023_monaco_R.csv,76.926
HUL,27,Haas F1 Team,5.0,0 days 00:01:17.045000,2.0,HARD,4.0,0 days 01:07:58.092000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161,laps_2023_monaco_R.csv,77.045
VER,1,Red Bull,6.0,0 days 00:01:17.640000,1.0,MEDIUM,6.0,0 days 01:08:42.024000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132,laps_2023_monaco_R.csv,77.64
ALO,14,Aston Martin,6.0,0 days 00:01:17.952000,1.0,HARD,7.0,0 days 01:08:44.198000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132,laps_2023_monaco_R.csv,77.952
OCO,31,Alpine,6.0,0 days 00:01:18.731000,1.0,MEDIUM,6.0,0 days 01:08:48.196000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132,laps_2023_monaco_R.csv,78.731
SAI,55,Ferrari,6.0,0 days 00:01:18.764000,1.0,HARD,6.0,0 days 01:08:49.343000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132,laps_2023_monaco_R.csv,78.764
